date,pollster,unsure,fidesz,tisza,dk_mszp_p,mihazank,mkkp,momentum,url
2023-04-28,Republikon,0.3,0.34,0.0,0.16,0.05,0.03,0.05,"http://republikon.hu/elemzesek,-kutatasok/23-05-15-aprilisi-kutatas.aspx"
2023-04-13,IDEA,0.37,0.3,0.0,0.14,0.06,0.04,0.05,https://telex.hu/belfold/2023/04/20/idea-intezet-partpreferencia-marcius-aprilis-kutatas
2023-03-24,Republikon,0.28,0.34,0.0,0.18,0.06,0.03,0.06,http://republikon.hu/media/122711/202303_prez_partpreferencia.pdf
2023-03-30,Századvég,0.12,0.42,0.0,0.0,0.09,0.11,0.0,https://szazadveg.hu/hu/2023/03/31/stabil-kormanyparti-foleny-erotlen-baloldal~n3647
2023-03-30,Századvég,0.12,0.4,0.0,0.11,0.09,0.11,0.08,https://szazadveg.hu/hu/2023/03/31/stabil-kormanyparti-foleny-erotlen-baloldal~n3647
2023-03-16,IDEA,0.38,0.29,0.0,0.14,0.06,0.04,0.05,http://www.ideaintezet.hu/hu/hirek-aktualis/96/negy--egyszazalekos-tamogatottsagu-mikropart-az-ellenzeki-oldalon------2023--marcius
2023-03-08,ZRI,0.29,0.32,0.0,0.17,0.07,0.02,0.06,https://24.hu/belfold/2023/03/13/zavecz-kozvelemeny-kutatas-partpreferencia-fidesz-dk-mi-hazank/
2023-02-27,Medián,0.27,0.35,0.0,0.11,0.05,0.07,0.06,https://hvg.hu/360/20230308_Median_Kutyafuttatas
2023-03-31,Iránytű,0.28,0.35,0.0,0.1,0.06,0.06,0.05,https://drive.google.com/file/d/1QYQE7v3D5bEgR1GSESng0ABbOKuE0X64/view?fbclid=IwAR0zL_XJhBS5UiHN0glzw74vrP_UMtrci5J9-iW19RkVT4pnBAm4Q8wG7jw
2023-02-15,Republikon,0.31,0.33,0.0,0.2,0.05,0.02,0.04,"http://republikon.hu/elemzesek,-kutatasok/23-02-22-kvk.aspx"
2023-02-15,IDEA,0.36,0.29,0.0,0.15,0.07,0.03,0.04,http://www.ideaintezet.hu/hu/hirek-aktualis/93/lelektani-hatar-ala-sullyedt-a-fidesz-tamogatottsaga-----2023--februar-
2023-01-11,IDEA,0.34,0.31,0.0,0.16,0.06,0.04,0.04,http://www.ideaintezet.hu/hu/hirek-aktualis/91/beragadt-preferenciak-az-ev-elejen------2023--januar-
2023-01-06,Republikon,0.3,0.32,0.0,0.2,0.06,0.02,0.04,"http://republikon.hu/elemzesek,-kutatasok/23-01-13-kvk.aspx"
2023-01-04,Nézőpont,0.07,0.48,0.0,0.08,0.05,0.04,0.03,https://nezopont.hu/a-fidesz-nyerne-az-ep-mandatumok-haromnegyedet/
2022-12-16,Publicus,0.39,0.28,0.0,0.13,0.02,0.03,0.04,https://publicus.hu/blog/partok-tamogatottsaga-2022-december/
2022-12-16,Publicus,0.23,0.36,0.0,0.16,0.03,0.03,0.05,https://publicus.hu/blog/partok-tamogatottsaga-2022-december/
2022-12-15,Medián,0.3,0.32,0.0,0.1,0.07,0.06,0.06,https://hvg.hu/360/20230104_Nincs_ok_unneplesre
